20  7
0  0  0
1  1  2
2  9  2
3  25  2
4  49  2
5  81  2
6  121  2
7  169  2
8  225  2
9  289  2
10  361  2
11  441  2
12  529  2
13  625  2
14  729  2
15  841  2
16  961  2
17  1089  2
18  1225  2
19  1369  2
